Player,Position,Games,Win rate,KDA,CSM,GPM,KP%,DMG%,DPM,GD@15,FB %
Freeze,ADC,51,56.9%,7.4,9.3,433,63.3%,28.5,542,-54,21.6%
GBM,MID,51,64.7%,4.3,7.7,392,66.0%,26.3,537,60,25.5%
IgNar,SUPPORT,51,51%,4.8,1.4,255,68.3%,8.0,141,-90,25.5%
Librid,MID,51,70.6%,4.1,7.9,396,61.1%,24.4,510,-39,17.6%
Odoamne,TOP,51,51%,2.5,7.7,372,53.1%,24.1,428,-88,13.7%
Paz,TOP,51,51%,3.4,8,386,58.1%,25.4,445,82,23.5%
Raven,TOP,51,51%,2.5,8.1,384,54.7%,23.7,459,234,27.5%
Steeelback,SUPPORT,51,76.5%,6.7,1.2,270,70.6%,6.6,136,147,35.3%
UpseT,ADC,51,51%,6.2,10.3,465,65.6%,28.9,527,109,23.5%
WSY,JUNGLE,51,33.3%,2.4,4.9,323,80.9%,16.2,283,50,51%
Zeicro,ADC,51,66.7%,4.2,9.2,429,65.2%,26.4,500,-15,23.5%
viviD,SUPPORT,51,51%,3.7,1.5,259,65.7%,9.1,156,61,27.5%
Ablazeolive,MID,50,60%,5.2,8.8,422,73.5%,29.6,595,181,22%
Ace,MID,50,52%,4.5,7.7,365,63.6%,21.1,363,-92,22%
Akaadian,JUNGLE,50,56%,3,5.2,332,69.2%,13.6,257,20,40%
Aria,MID,50,68%,6,8.8,410,65.4%,28.9,521,152,16%
Art,ADC,50,68%,7,9.9,458,71.8%,33.3,606,170,22%
Bolszak,JUNGLE,50,48%,3.2,5.2,337,68.5%,15.2,300,65,40%
Color,TOP,50,44%,2.2,7.7,351,46.4%,19.6,321,-416,20%
Divkid,ADC,50,36%,3.1,9.5,441,64.3%,27.1,495,37,20%
Frozen,MID,50,68%,6.4,8.3,407,66.6%,26.8,489,292,18%
Goldenglue,MID,50,70%,4,8.4,419,62.2%,25.1,552,324,24%
Kold,JUNGLE,50,50%,2.9,4.9,317,65.4%,12.8,223,-88,30%
Lamabear,JUNGLE,50,56%,4.6,5,332,68.5%,14.2,263,227,48%
Larssen,MID,50,60%,6.2,9.3,422,63.8%,26.7,466,331,26%
Orome,TOP,50,58%,3.9,8,390,54.0%,22.6,435,97,4%
Stomaged,JUNGLE,50,68%,4.6,5.2,342,68.1%,13.4,246,83,40%
Treatz,SUPPORT,50,60%,4.2,1.5,274,75.2%,8.8,178,-53,34%
VandeR,SUPPORT,50,54%,4.2,1.7,263,68.2%,8.0,142,272,30%
Wardain,TOP,50,56%,4.6,8.2,385,55.0%,19.1,351,278,16%
Wolf,SUPPORT,50,68%,4.6,1.6,278,73.3%,9.2,166,280,30%
Xico,MID,50,56%,3.4,9.2,422,66.8%,31.4,585,394,36%
Zeitnot,ADC,50,68%,6.2,9.6,462,71.0%,29.5,545,667,30%
Diamond,SUPPORT,49,71.4%,5,1.5,283,70.2%,9.0,197,321,24.5%
Fill,SUPPORT,49,46.9%,3.2,1.4,252,69.1%,9.6,180,-168,26.5%
Innaxe,ADC,49,65.3%,4.7,8.7,434,67.0%,25.8,496,-78,14.3%
Langx,TOP,49,67.3%,3.7,8.3,387,48.7%,18.7,324,-46,0%
Obsess,JUNGLE,49,67.3%,3.3,4.9,344,69.3%,14.3,300,-153,28.6%
Pobelter,MID,49,38.8%,3,8.9,389,64.9%,28.7,437,-29,20.4%
Tempt,MID,49,55.1%,5.3,8.7,392,66.5%,27.2,461,228,30.6%
Thal,TOP,49,42.9%,2.8,8.4,377,60.5%,22.8,346,-339,18.4%
V1PER,TOP,49,38.8%,2.9,8.7,383,60.0%,19.3,295,-212,24.5%
WildTurtle,ADC,49,38.8%,3.6,9.6,419,65.6%,29.1,452,-217,28.6%
Yusui,MID,49,46.9%,4.8,8.9,422,65.0%,27.4,529,208,26.5%
Yutorimoyashi,ADC,49,53.1%,5.6,9.8,445,64.1%,28.8,511,373,20.4%
hachamecha,JUNGLE,49,67.3%,3.8,5,317,60.6%,11.2,197,-239,22.4%
Arce,SUPPORT,48,58.3%,4.2,1.8,268,68.1%,8.8,159,126,18.8%
Bolulu,MID,48,70.8%,5,8.1,397,67.1%,22.7,449,304,22.9%
Ceros,MID,48,81.3%,5.1,8.1,375,60.1%,24.3,460,-56,16.7%
Chelizi,TOP,48,29.2%,2.5,8,365,54.7%,21.8,340,-,0%
Condi,JUNGLE,48,43.8%,3.3,4.6,317,72.1%,11.5,210,-,0%
Dasher,MID,48,54.2%,4.5,9.2,428,75.4%,35.4,634,630,29.2%
DudsTheBoy,ADC,48,60.4%,3.8,9.4,441,68.8%,29.7,586,213,27.1%
Enty,SUPPORT,48,54.2%,5.4,1.6,265,71.8%,9.6,175,90,25%
Keymaker,ADC,48,54.2%,4.4,9.1,411,63.6%,25.2,454,-138,18.8%
Liang,TOP,48,39.6%,2.4,7.9,371,59.1%,22.8,365,-141,18.8%
Lost,ADC,48,45.8%,5.1,9.2,424,66.9%,27.9,532,-47,22.9%
Madly,TOP,48,47.9%,1.9,7.3,361,47.8%,20.6,370,-253,10.4%
MakeItBetter,MID,48,60.4%,3.8,7.7,394,65.4%,25.8,522,27,14.6%
Olleh,SUPPORT,48,56.3%,2.8,1.7,267,66.3%,9.8,182,83,35.4%
Only,JUNGLE,48,70.8%,3.8,5.3,343,62.7%,13.7,259,144,33.3%
Prime,SUPPORT,48,54.2%,3.1,1.3,256,68.0%,8.6,149,-37,27.1%
Raes,ADC,48,70.8%,6.4,10,477,66.5%,28.4,543,804,20.8%
Saken,MID,48,52.1%,4.2,8.5,411,68.2%,25.1,462,596,29.2%
Santorin,JUNGLE,48,37.5%,4.2,5.1,315,77.2%,14.7,219,163,52.1%
Tussle,JUNGLE,48,54.2%,4,5.2,325,66.3%,11.3,203,142,39.6%
Wendelbo,SUPPORT,48,47.9%,2.5,1.2,251,72.5%,9.8,175,-62,18.8%
padden,ADC,48,47.9%,3.6,8.8,436,66.6%,27.1,496,10,20.8%
AnDa,JUNGLE,47,53.2%,3.5,4.9,325,68.9%,13.2,250,-6,25.5%
Defles,ADC,47,61.7%,5.3,9.7,436,66.1%,29.8,576,58,25.5%
Eyla,SUPPORT,47,70.2%,4.3,1.3,256,67.3%,10.6,189,2,27.7%
Finn,TOP,47,68.1%,3.8,7.8,391,60.7%,23.8,443,-340,17%
Japone,SUPPORT,47,66%,4.3,1.5,257,71.0%,9.3,165,102,38.3%
Josedeodo,JUNGLE,47,38.3%,3.6,4.7,306,66.6%,11.3,193,-15,48.9%
Levi,JUNGLE,47,63.8%,4.7,5.9,379,72.0%,20.3,395,764,34%
Ragner,TOP,47,48.9%,3,7.9,390,60.9%,24.9,432,291,12.8%
Shadow,SUPPORT,47,38.3%,3.3,1.5,256,64.8%,9.0,149,89,34%
XinMo,SUPPORT,47,57.4%,4.1,1.5,258,67.5%,8.0,151,-,0%
t4nky,JUNGLE,47,51.1%,3.6,5.3,338,71.8%,14.2,252,194,44.7%
BioPanther,TOP,46,30.4%,2.5,8,377,56.1%,24.4,420,83,13%
Cboi,JUNGLE,46,47.8%,2.4,4.9,314,71.2%,13.6,235,8,32.6%
Claire,MID,46,69.6%,3.5,8.7,419,63.3%,27.4,513,69,19.6%
Dread,MID,46,43.5%,3.2,8.3,407,66.1%,28.0,512,177,30.4%
Falco,SUPPORT,46,60.9%,3.6,1.4,260,70.9%,9.9,188,70,23.9%
Getback,MID,46,30.4%,2.2,7.7,365,61.7%,23.8,412,-173,26.1%
Hadow,SUPPORT,46,54.3%,3.2,1.4,250,69.4%,9.0,155,-15,19.6%
Insanity,MID,46,50%,3.2,8.1,383,62.0%,27.1,467,-231,15.2%
JayJ,SUPPORT,46,41.3%,2.3,1.3,240,68.3%,9.8,161,-31,21.7%
Jenkins,TOP,46,50%,2.7,7.8,372,54.7%,25.5,447,-11,17.4%
Kindless,ADC,46,28.3%,2.5,9.1,411,62.9%,31.4,559,-40,23.9%
Matt,SUPPORT,46,50%,3.1,1.4,248,66.0%,8.7,149,25,32.6%
QQ,JUNGLE,46,37%,2.2,5,317,73.8%,14.5,246,-50,37%
Ranger,JUNGLE,46,56.5%,3.8,5.6,351,68.9%,15.8,314,97,39.1%
Shemek,TOP,46,52.2%,4.2,7.1,363,51.2%,21.2,387,94,21.7%
Shmebu,SUPPORT,46,37%,2.3,1.3,259,66.4%,9.9,172,102,21.7%
Shoryu,ADC,46,50%,5.3,9,422,66.9%,27.0,476,40,32.6%
Skeanz,JUNGLE,46,52.2%,5.5,5.4,358,75.0%,17.6,328,544,47.8%
Tactical,ADC,46,65.2%,5.2,9.3,447,71.1%,27.3,575,47,30.4%
TopLop,MID,46,37%,2.7,8.3,375,61.3%,28.7,494,-154,13%
Trayton,SUPPORT,46,52.2%,2.9,1.3,257,64.6%,9.2,169,46,21.7%
Trymbi,SUPPORT,46,60.9%,4.5,0.8,258,74.4%,10.5,196,10,41.3%
Wondro,TOP,46,65.2%,3,8.7,427,55.1%,25.7,496,562,23.9%
ZionSpartan,TOP,46,58.7%,3.1,7.9,388,54.3%,22.2,411,498,30.4%
dyNquedo,MID,46,56.5%,4.1,8.3,393,57.1%,22.6,443,88,13%
ssumday,TOP,46,52.2%,3.7,9.2,433,53.0%,24.5,447,802,19.6%
Alternative,ADC,45,46.7%,3.1,9,420,70.9%,29.4,505,36,22.2%
Anyyy,MID,45,46.7%,3.4,8.7,394,60.6%,26.2,449,91,13.3%
Aslan,MID,45,37.8%,3.2,8.7,389,62.5%,30.7,536,-162,8.9%
Damage,SUPPORT,45,46.7%,2.4,1.6,259,61.7%,8.2,137,-164,24.4%
Duclou,TOP,45,37.8%,1.9,7.8,359,47.3%,21.3,366,-298,17.8%
Eren,MID,45,42.2%,2.5,8.4,389,61.0%,27.6,509,-89,24.4%
FakeGod,TOP,45,46.7%,2.4,7.6,369,51.8%,21.6,420,-273,15.6%
Fitz,TOP,45,46.7%,1.8,8.2,386,51.9%,23.2,393,-75,11.1%
Giyuu,MID,45,51.1%,3,8.6,402,62.5%,28.1,502,73,22.2%
Krastyel,MID,45,46.7%,3.2,8.5,388,63.9%,25.3,451,95,13.3%
Nixerino,ADC,45,53.3%,5.9,9.2,439,64.6%,22.3,396,165,26.7%
Noway,ADC,45,55.6%,5,9.8,448,62.7%,23.4,412,-75,13.3%
Raise,JUNGLE,45,46.7%,3.3,5.1,330,69.5%,15.6,278,-90,31.1%
Unknown,TOP,45,28.9%,2.2,8.5,375,48.7%,23.8,376,53,24.4%
WeiWei,JUNGLE,45,46.7%,2.8,4.8,328,70.6%,14.9,289,-,0%
pbO,ADC,45,37.8%,3.4,8.4,394,67.8%,25.0,438,-223,26.7%
