Player,Position,Games,Win rate,KDA,CSM,GPM,KP%,DMG%,DPM,GD@15,FB %
Aiming,ADC,84,45.2%,4.2,9.7,441,69.2%,32.2,532,63,19%
CoreJJ,SUPPORT,84,66.7%,4.5,1.7,261,71.9%,8.2,149,247,26.2%
Doublelift,ADC,84,66.7%,5.1,9.5,448,70.6%,28.3,533,152,23.8%
Impact,TOP,84,66.7%,3.4,7.8,387,57.5%,24.9,458,-11,17.9%
Jensen,MID,84,66.7%,4.5,8.8,408,65.4%,26.8,493,-28,17.9%
Meteor,JUNGLE,84,56%,4,5.5,348,71.1%,15.1,299,-,0%
Xmithie,JUNGLE,84,66.7%,3.9,5.1,328,69.7%,11.8,217,-87,32.1%
delord,SUPPORT,84,59.5%,3.4,1.3,258,65.7%,8.3,165,15,28.6%
jinjiao,ADC,84,56%,4.5,9.7,443,67.8%,28.1,561,-,0%
kurO,MID,84,56%,4.9,8.4,393,65.0%,25.1,490,-,0%
Matislaw,MID,83,51.8%,4.8,8.7,401,63.9%,28.4,535,158,19.3%
Scout,MID,83,56.6%,4.4,8.6,405,64.7%,26.4,485,-,0%
meiko,SUPPORT,83,56.6%,4.1,1.5,267,70.3%,9.2,166,-,0%
Ben,SUPPORT,82,63.4%,3.9,1.4,265,63.9%,8.6,156,-403,0%
Dan Dan,TOP,82,61%,2.7,8.5,413,46.0%,21.0,440,170,8.5%
K,SUPPORT,82,50%,3.9,1.5,244,68.4%,9.1,151,-118,25.6%
Uniboy,MID,82,50%,4.3,8.4,381,70.2%,26.3,442,-290,28%
Alex,JUNGLE,81,54.3%,4.6,5.2,333,71.8%,13.3,238,135,49.4%
Asura,ADC,81,45.7%,3.9,9.6,441,64.0%,30.0,534,-,0%
Cody Sun,ADC,81,44.4%,5.1,9.6,441,69.1%,30.8,563,127,13.6%
Flandre,TOP,81,45.7%,2.7,8.6,395,57.0%,23.7,416,-,0%
Rather,MID,81,48.1%,3.5,8.9,394,67.9%,27.3,445,-11,13.6%
SofM,JUNGLE,81,45.7%,3.3,5.1,323,70.1%,14.8,257,-,0%
Jinoo,TOP,80,48.8%,3,8.1,394,56.5%,24.7,436,-,0%
Kongyue,JUNGLE,80,51.3%,3.5,5.3,334,74.1%,15.5,263,175,43.8%
Grace,MID,79,17.7%,2.2,8.5,358,63.0%,25.3,370,-318,21.5%
Inspired,JUNGLE,79,64.6%,4.4,5.5,350,67.5%,15.5,289,304,34.2%
Kashtelan,MID,79,59.5%,4.1,8.9,413,64.4%,28.8,531,381,22.8%
Puki Style,ADC,79,59.5%,4.5,9.4,441,63.2%,29.9,555,352,26.6%
Woolite,ADC,79,64.6%,4.6,9.1,452,66.8%,30.2,617,137,21.5%
Bwipo,TOP,78,65.4%,2.7,7.5,396,59.0%,24.3,470,34,24.4%
Damonte,MID,78,47.4%,3.5,8.6,387,63.7%,22.5,408,-108,17.9%
FoFo,MID,78,65.4%,5.9,8.8,408,68.8%,28.1,536,330,28.2%
Koala,SUPPORT,78,65.4%,3.4,1.4,255,68.3%,8.4,159,-20,24.4%
Kobbe,ADC,78,56.4%,5.3,10,466,67.1%,26.8,493,321,28.2%
LilV,ADC,78,65.4%,5.9,9.9,446,68.3%,27.7,532,160,16.7%
Neon,ADC,78,61.5%,3.6,9.3,456,61.5%,29.8,633,276,16.7%
Puff,ADC,78,29.5%,3.3,10.1,440,70.3%,31.2,536,-,0%
Rest,TOP,78,65.4%,3.2,8.5,406,57.4%,23.7,445,396,20.5%
Southwind,SUPPORT,78,29.5%,2.8,1.8,276,72.0%,9.7,160,-,0%
Tore,SUPPORT,78,56.4%,2.9,1.4,256,66.9%,8.4,149,137,30.8%
Xerxe,JUNGLE,78,56.4%,4.9,4.7,323,69.2%,14.7,266,98,42.3%
Breeze,ADC,77,51.9%,4.6,9.5,425,66.5%,28.5,490,-365,20.8%
Flawless,JUNGLE,77,54.5%,3,4.8,323,71.2%,12.6,232,-1082,0%
GALA,ADC,77,50.6%,4.3,9.7,440,62.8%,27.3,470,-,0%
Huni,TOP,77,46.8%,2.6,8.2,392,62.3%,28.6,514,278,28.6%
Hylissang,SUPPORT,77,64.9%,2.8,1.4,278,67.5%,11.3,221,138,33.8%
Lira,JUNGLE,77,46.8%,3.5,5.3,325,69.1%,11.1,200,246,41.6%
Twila,MID,77,50.6%,3.3,8.7,391,60.8%,26.1,449,-,0%
Ucal,MID,77,44.2%,2.8,8.4,377,64.0%,23.0,382,169,20.8%
Vizicsacsi,TOP,77,55.8%,2.8,7.7,385,58.8%,23.0,408,-118,22.1%
Vulcan,SUPPORT,77,46.8%,2.9,1.2,243,70.9%,8.3,150,-98,23.4%
Broxah,JUNGLE,76,65.8%,4.4,4.8,337,66.0%,14.8,280,68,39.5%
